导弹高度,导弹距离,导弹速度,导弹过载,导弹经度,导弹纬度,弹目距离,目标经度,目标纬度,目标高度,目标速度
3941.8778,4376.0612,653.92,0.332,2.0252,0.2889,192782.5445,2.0421,0.3143,24835.9579,680
3961.2488,4402.4387,652.1418,0.3637,2.0252,0.2889,192733.2262,2.0421,0.3143,24835.286,680
3980.3294,4428.6211,650.3764,0.3954,2.0252,0.2889,192683.838,2.0421,0.3143,24834.6142,680
3999.1213,4454.6097,648.6235,0.427,2.0252,0.2889,192634.3831,2.0421,0.3143,24833.9425,680
4017.6268,4480.4056,646.8828,0.4585,2.0252,0.2889,192584.8649,2.0421,0.3143,24833.2709,680
4035.848,4506.0105,645.154,0.4897,2.0252,0.2889,192535.2868,2.0421,0.3143,24832.5995,680
4053.7876,4531.4259,643.4371,0.5208,2.0252,0.2889,192485.6522,2.0421,0.3143,24831.9282,680
4071.4486,4556.6538,641.732,0.5516,2.0252,0.2889,192435.9648,2.0421,0.3143,24831.2569,680
4088.8343,4581.6963,640.0384,0.5821,2.0252,0.2889,192386.228,2.0421,0.3143,24830.5858,680
4105.948,4606.5557,638.3563,0.6123,2.0252,0.2889,192336.4453,2.0421,0.3143,24829.9148,680
4122.7937,4631.2345,636.6855,0.6421,2.0252,0.2889,192286.6204,2.0421,0.3143,24829.244,680
4139.3754,4655.7353,635.0259,0.6715,2.0252,0.2889,192236.7568,2.042,0.3143,24828.5732,680
4155.6973,4680.0609,633.3772,0.7005,2.0252,0.2889,192186.858,2.042,0.3143,24827.9026,680
4171.764,4704.2145,631.7395,0.7291,2.0252,0.2889,192136.9276,2.042,0.3143,24827.232,680
4187.5804,4728.1993,630.1125,0.7572,2.0252,0.2889,192086.969,2.042,0.3143,24825.8913,680
4203.1516,4752.0186,628.4962,0.7848,2.0252,0.2889,192036.9856,2.042,0.3143,24825.8913,680
4218.582,4775.7406,626.8888,0.8044,2.0252,0.2889,191987.0207,2.042,0.3143,24825.2211,680
4233.973,4799.4312,625.2893,0.8209,2.0252,0.2889,191937.1148,2.042,0.3143,24824.5511,680
4249.3248,4823.0899,623.6975,0.8349,2.0252,0.2889,191887.2676,2.042,0.3143,24823.8811,680
4264.6376,4846.7164,622.1134,0.8467,2.0252,0.2889,191837.479,2.042,0.3143,24823.2113,680
4279.9115,4870.3104,620.5369,0.8568,2.0252,0.2889,191787.7485,2.042,0.3142,24822.5416,680
4295.1468,4893.8716,618.9679,0.8655,2.0253,0.2889,191738.0759,2.042,0.3142,24821.872,680
4310.3436,4917.3997,617.4065,0.873,2.0253,0.2889,191688.461,2.042,0.3142,24821.2025,680
4325.5021,4940.8943,615.8525,0.8796,2.0253,0.289,191638.9034,2.042,0.3142,24820.5331,680
4340.6224,4964.3552,614.3059,0.8853,2.0253,0.289,191589.4028,2.042,0.3142,24819.8639,680
4355.7049,4987.7822,612.7667,0.8904,2.0253,0.289,191539.9591,2.042,0.3142,24819.1948,680
4370.7496,5011.1749,611.2348,0.895,2.0253,0.289,191490.5719,2.042,0.3142,24818.5257,680
4385.7567,5034.5331,609.7101,0.8991,2.0253,0.289,191441.2409,2.042,0.3142,24817.8568,680
4400.7279,5057.8605,608.7139,0.903,2.0253,0.289,191391.9607,2.042,0.3142,24817.188,680
4415.6765,5081.186,608.5521,0.9067,2.0253,0.289,191342.6941,2.042,0.3142,24816.5194,680
4430.6162,5104.5297,608.8051,0.9097,2.0253,0.289,191293.4222,2.042,0.3142,24815.8508,680
4445.5583,5127.9074,609.359,0.9121,2.0253,0.289,191244.1324,2.042,0.3142,24815.1824,680
4460.5106,5151.3289,610.1131,0.9138,2.0253,0.289,191194.8168,2.042,0.3142,24814.5141,680
4475.4794,5174.8026,611.0688,0.915,2.0253,0.289,191145.4688,2.042,0.3142,24813.8458,680
4490.4711,5198.3371,612.2314,0.9156,2.0253,0.289,191096.0815,2.042,0.3142,24812.5098,680
4505.4921,5221.941,613.6021,0.9156,2.0253,0.289,191046.6478,2.042,0.3142,24812.5098,680
4520.5478,5245.6217,615.1012,0.915,2.0253,0.289,190997.1614,2.042,0.3142,24811.8419,680
4535.6409,5269.3827,616.6585,0.914,2.0253,0.289,190947.6199,2.042,0.3142,24811.1742,680
4550.7735,5293.2264,618.2736,0.9126,2.0253,0.289,190898.0212,2.042,0.3142,24810.5065,680
4565.9474,5317.1553,619.9431,0.9109,2.0253,0.289,190848.3636,2.042,0.3142,24809.839,680
4581.1645,5341.1715,621.6666,0.9088,2.0253,0.289,190798.6452,2.042,0.3142,24809.1716,680
4596.4263,5365.2771,623.4341,0.9064,2.0253,0.289,190748.8645,2.042,0.3142,24808.5044,680
4611.7341,5389.4736,625.237,0.9038,2.0253,0.289,190699.02,2.042,0.3142,24807.8372,680
4627.0889,5413.7625,627.073,0.9009,2.0253,0.289,190649.1107,2.042,0.3142,24807.1701,680
4642.4916,5438.1447,628.9302,0.8978,2.0253,0.289,190599.1356,2.042,0.3142,24806.5032,680
4657.9428,5462.621,630.8069,0.8946,2.0253,0.289,190549.094,2.042,0.3142,24805.8364,680
